ad libitum|ad li·bi·tum [Lt a] seturut keinginan, sesuai dng cita rasa (dl bersantap, berbusana, menata dekorasi, menata perlengkapan rumah, dsb)
ada|ada [v] 1. hadir
adab|adab [n] kehalusan dan kebaikan budi pekerti
adad|adad [Ar n] bilangan
adagio|ada·gio [n Mus] tempo yg lambat dan penuh ekspresi
adagium|ada·gi·um [n] pepatah
adakala|ada·ka·la [adv] kadang-kadang
adakan|ada·kan [p] mana ada
adaks|adaks [n] antelop berbulu warna terang, hidup di Afrika Utara, Arab, dan Siria
adaktil|adak·til [a] tidak mempunyai jari tangan atau jari kaki
adalah|ada·lah [v] 1. identik dng: <i>Pancasila -- falsafah bangsa Indonesia
adalat|ada·lat [Ar n] kebajikan
adam|1:Adam [n] 1. nama manusia laki-laki pertama yg dijadikan oleh Tuhan
adam|2:adam [kl n] bumi
adan|1:adan ? azan
adan|2:adan ? adnan
adang|1:adang [v], meng·a·dang [v] 1. menghalangi (merintangi orang berjalan dsb) dng cara mendepang: <i>jangan engkau ~ orang itu, biarkan dia lewat
adang|2:adang [Jw v] menanak nasi dng menggunakan dandang
adang|3:adang [n] 1. saudara tua dr ibu (biasanya wanita)
adang-adang|adang-adang [adv cak] kadang-kadang
adap|adap, adap-adap·an [n] nasi kuning dr beras pulut (dihidangkan dl perayaan dsb)
adaptabel|adap·ta·bel [a] dapat menyesuaikan atau disesuaikan dng kondisi dan keperluan tertentu
adaptabilitas|adap·ta·bi·li·tas [n] kemampuan beradaptasi: <i>kaktus mempunyai -- yg luas, yaitu dapat hidup di dataran rendah sampai dataran tinggi, termasuk daerah yg bersalju
adaptasi|adap·ta·si [n] penyesuaian thd lingkungan, pekerjaan, dan pelajaran: --<i> buku-buku roman asing itu perlu sekali untuk memudahkan penerimaan murid
adaptif|adap·tif [a] mudah menyesuaikan (diri) dng keadaan
adaptometer|adap·to·me·ter [n] peranti untuk mengukur penyesuaian indra
adaptor|adap·tor [n] 1. alat untuk menghubungkan dua bagian benda, msl yg berbeda diameternya
adapun|ada·pun 1 [p] tt hal
adar|1:adar, meng·a·dar [v] 1. bermalam di rumah orang
adar|2:adar [a] sangat tua
adas|adas [n] tumbuhan bergetah yg tingginya kira-kira 1,5 m, bijinya dijadikan minyak untuk obat
adat|1:adat [n] 1. aturan (perbuatan dsb) yg lazim diturut atau dilakukan sejak dahulu kala: <i>menurut -- daerah ini, laki-lakilah yg berhak sbg ahli waris
adat|2:adat [Jk] meng·a·dat [v] 1. mogok, tidak mau jalan (tt kendaraan): <i>krn sudah tua, mobil itu sering ~
adati|ada·ti [a] bersifat adat
adegan|ade·gan [n] 1. pemunculan tokoh baru atau pergantian susunan (layar) pd pertunjukan wayang
adeh|adeh , ber·a·deh [v] berderap
adekuat|ade·ku·at [a] memenuhi syarat
adem|adem [a cak] 1. dingin
adempauze|adem·pau·ze [Bld n] kesempatan untuk beristirahat
adenda|aden·da ? adendum
adendum|aden·dum [n] 1. jilid tambahan (pd buku)
adenoid|ade·no·id [n Dok] 1. pertumbuhan mirip kelenjar pd tenggorok dan bagian belakang hidung
adenoma|ade·no·ma [n Dok] jaringan kelenjar
adenosis|ade·no·sis [n Dok] penyakit kelenjar, terutama menyerang kelenjar getah bening
adhesi|ad·he·si [n] 1. keadaan melekat pd benda lain
adhesif|ad·he·sif [a] bersifat melekat
adi|adi- [bentuk terikat] unggul
adiabatik|adi·a·ba·tik [a Fis] mengacu pd setiap perubahan yg terjadi dl suatu sistem tanpa sistem itu memperoleh atau kehilangan bahang
adiaktinik|adi·ak·ti·nik [a Fis] kedap thd cahaya ultraviolet dan cahaya yg tampak
adib|adib 1. [v] beradab
adibangkit|adi·bang·kit [n] tanda isyarat untuk membangunkan pasukan (prajurit dsb): <i>terompet telah membunyikan --
adibibit|adi·bi·bit [n] bibit unggul
adibintang|adi·bin·tang [n] 1. bintang lapangan
adiboga|adi·bo·ga [n] seni memasak tingkat tinggi (dikerjakan, dimasak, dan dihidangkan dng cita rasa seni)
adibusana|adi·bu·sa·na [n] busana wanita yg ekslusif dan cenderung yg sedang tren
adicita|adi·ci·ta [ark n] ideologi
adidaya|adi·da·ya [a] adikuasa
adigang|adi·gang [a] bersifat menonjolkan kekuasaan dan kekuatan
adiguna|adi·gu·na [a] bersifat menonjolkan kepandaian
adigung|adi·gung [a] bersifat menonjolkan keluhuran, keturunan, dan kebangsawanan
adik|adik [n] 1. saudara kandung yg lebih muda (laki-laki atau perempuan): --<i> kandung</i>
adika|adi·ka 1. [a] lebih
adikanda|adi·kan·da ? adinda
adikara|adi·ka·ra [kl] 1. [a] berkuasa
adikarya|adi·kar·ya [n] karya yg dihasilkan dng kemampuan yg luar biasa
adikodrati|adi·kod·ra·ti [a] melebihi atau di luar kodrat alam
adikong|adi·kong [n] pembantu pribadi pembesar spt pembantu sultan, perdana menteri
adiksi|adik·si [n Dok] kecanduan atau ketergantungan secara fisik dan mental thd suatu zat
adiktif|adik·tif [a] 1. bersifat kecanduan
adikuasa|adi·ku·a·sa [a] berkekuatan amat besar atau luar biasa
adil|adil [a] 1. sama berat
adiluhung|adi·lu·hung [a] tinggi mutunya: <i>seni budaya yg bernilai -- wajib dipelihara
adimarga|adi·mar·ga [n] jalan raya yg lebar, biasanya dng deretan pohon di kiri-kanannya
adinamia|adi·na·mia [a Dok] dl keadaan tidak bertenaga
adinda|adin·da [n] adik (mengandung pengertian lebih hormat dan ramah)
ading|ading [n cak] adik
adipati|adi·pa·ti [n] 1. gelar raja muda atau wakil raja (di Jawa dipunyai oleh Paku Alam dan Mangkunegara)
adipenghantar|adi·peng·han·tar [n Fis] bahan yg, jika mempunyai suhu di bawah suhu peralihan (kritis) tertentu (Tc), mulai menunjukkan sifat penghantar listrik yg sangat baik dan hambatan listriknya menjadi sangat kecil
adiposa|adi·po·sa [n Dok] penimbunan lemak yg berlebihan dl tubuh
adipositas|adi·po·si·tas [n Dok] perihal lemak
adipura|adi·pu·ra [n] kota yg terbersih dan terindah
adiraja|adi·ra·ja [ark n] gelar raja yg tertinggi
adiratna|adi·rat·na [n] 1. permata yg mulia
adisi|adi·si [n] 1. penambahan yg dilakukan secara terus-menerus
adisional|adi·si·o·nal [a] sbg tambahan
adisiswa|adi·sis·wa [n] pelajar yg paling bermutu (pandai, terkenal, menarik perhatian, dsb)
aditama|adi·ta·ma [a] berkemampuan amat baik: <i>ia merupakan salah satu wanita -- dl kelompok itu
aditif|adi·tif 1. [a] berkenaan atau dihasilkan dng penambahan
aditokoh|adi·to·koh [n] 1. tokoh utama
adiwangsa|adi·wang·sa [kl n] bangsa utama (mulia)
adiwarna|adi·war·na [a] indah sekali
adiwidia|adi·wi·dia [n] pengetahuan yg paling tinggi
adjektif|ad·jek·tif ? adjektiva
adjektiva|ad·jek·ti·va [n Ling] kata yang menerangkan nomina (kata benda) dan secara umum dapat bergabung dng kata <i>lebih</i> dan <i>sangat
adjektival|ad·jek·ti·val [a Ling] 1. berfungsi sbg adjektiva, tetapi tidak dapat berinfleksi spt adjektiva biasa
adjuvan|ad·ju·van [n Far] obat yg bekerja membantu berkhasiatnya obat lain
administrasi|ad·mi·nis·tra·si [n] 1. usaha dan kegiatan yg meliputi penetapan tujuan serta penetapan cara-cara penyelenggaraan pembinaan organisasi
